-0.000829078712371339+6.41145263928788e-18i,-0.0278690235701525+1.58237629909968e-17i,-0.00293726887273008-9.22593322259582e-18i,-0.0288037650831464-2.63768903037743e-18i,-0.0463676594109672+6.89503740452916e-18i,0.0791103598331083+4.73978541596905e-19i,0.0305975735243698-2.15626579396712e-17i
-0.000723984754197424-1.59549089853188e-17i,0.165819897727181+2.85671894838408e-17i,0.106219691814623+5.92715486058271e-17i,0.0239693144947534-8.87131328872183e-18i,0.0740378065101562+5.85794186849182e-17i,0.00252806764224271+2.8133520465564e-17i,-0.0208986148917142+1.83623453309508e-18i
0.0371106755754525-1.93272523736106e-17i,-0.0824124735441143+1.54562478242914e-17i,0.00252464852863101+1.95028736868093e-17i,0.00193789145530121+5.94027225900627e-18i,0.0387504186713441+3.40733343322631e-17i,-0.0230117750426524-3.80164897763808e-18i,0.00312021012957127-1.84650224613186e-17i
0.0145037442152227-1.8631236665255e-17i,0.0361501661615635-1.10021967992634e-17i,0.0599770021983563+2.71330564512773e-17i,-0.0445654323954557-1.0549713635215e-17i,0.0301713546111819-1.04781351599648e-18i,0.0440392628732429-3.95208967336732e-18i,-0.0434696047661211+2.43249528047555e-17i
0.0174999053191848-8.35339661638174e-18i,0.0179621370361312-1.290266095955e-17i,0.0076980396080998+2.2085901128277e-17i,0.0144897888027378-2.58758462639846e-18i,0.113374262691664+4.52338732409467e-17i,-0.089794755015861+1.50571489624819e-17i,-0.0772775314932394+7.8544958155068e-18i
0.00860890788413462-1.27143384666605e-18i,0.0461120309193141+9.2896294726116e-18i,0.00589032353971692+2.44566362506369e-18i,0.0192267250452019-1.08540263977805e-18i,0.00429478148124214-1.81882813052233e-17i,-0.141340825366294-1.17590579367193e-17i,-0.0131220448472799+2.18307704954574e-17i
0.000897418950131331+2.49164373863936e-17i,0.0176051658174198-1.69441868752846e-17i,-0.0712394413953422-2.94959218626192e-17i,0.00699610861072821+2.26587091784756e-17i,-0.027726193959576-6.5271843032394e-17i,-0.0504619328324437-1.8822685995488e-17i,0.113591344233443-3.99783654397559e-18i
0.00730945757148349+1.53686359879667e-19i,-0.0242874799079882+1.37225042741417e-17i,-0.0295295621325434+5.92661461850632e-18i,-0.0861888612752016-8.75657121993414e-18i,0.0474208282741256+1.29424343725898e-17i,-0.06074916394299+3.29650016073662e-19i,0.0436268669039134-1.34039195984101e-17i
0.00368357313287757-6.34829684078957e-18i,0.115602155569318-5.27728123329679e-18i,0.060706263972062-2.75711325327001e-18i,-0.0171503893496531+2.31980965412766e-17i,-0.0424805680175794-2.50716139863489e-17i,-0.0759558668356158+7.26934318916278e-19i,0.00421159672872568+3.2037590433069e-17i
-0.00483948559719976-3.18452492857529e-18i,0.0777377984718434+1.49956005068654e-17i,0.0561599057924904+1.95487929326513e-17i,-0.0140148127011436+1.01507581148723e-17i,0.0300244071587992+3.96282364335154e-17i,0.0659191838650591+1.4806572858641e-17i,0.000863970246731124-1.67694680954779e-19i
