-0.00414907422948432+3.06711816875828e-18i,-0.028103527207556+3.07715472801933e-18i,0.0175713633044142-1.15903393296255e-18i,-0.0416549748804187-9.29186184951263e-18i,0.0321948775945007-4.71275425357233e-18i,-0.00668834539092873-1.22938590613449e-19i,0.042043908090733+6.70704256270451e-18i
-0.00136301219935856-1.55140475216683e-18i,0.0189220344453136-2.00795204908142e-18i,0.000119069246830398-4.00259527939774e-18i,-0.0398070703836624+6.05937885435457e-19i,-0.0249457241971129-4.40336776826075e-18i,-0.0207214818221244-2.72737908889428e-18i,0.0151310390510425+2.61905595484712e-18i
0.0123464225348347-9.76505351503095e-18i,-0.0237164039543286-2.09094614275736e-18i,-0.0233387358812192+8.73150316178498e-18i,-0.0219855425502463+1.83364372840927e-18i,-0.0155092967440492-3.194396202283e-18i,-0.0255480210834252-1.62110827458171e-18i,-0.0450049950697473+3.97630138953435e-18i
0.0103655205740304+2.7295259214825e-18i,-0.0330041049958218+5.53506736911718e-18i,-0.102585629330192-1.7207634817513e-18i,-0.0273882007467284+2.49671128910216e-18i,-0.0354515036249175-1.13716062631124e-17i,-0.00592897405103225+1.14787619173836e-18i,-0.0560405437978167+2.35757663517197e-18i
-0.0461951111082177+2.45394885592337e-18i,0.0263885349024499+4.31390153551736e-19i,0.135571653226078-1.28174791788905e-18i,-0.0532006503130937-1.16438472515711e-17i,0.0646476781101359+4.53556726488377e-18i,-0.0110220491422544+5.47987263069975e-19i,0.0794340467376545+7.00780689594348e-18i
-0.0023971927652213+1.36553773965594e-17i,0.0206436936011916+7.36866917517467e-18i,0.0226623022966917-1.02488596733493e-17i,-0.0180272143039723-1.15114850125355e-17i,-0.0448390076267423+7.61050547545502e-20i,-0.0375328186525898-5.62740678185326e-19i,0.0590593437789373-6.19886801613337e-18i
0.0216604361479111-8.57133492773587e-18i,-0.0194419854039955+1.1601981948952e-18i,-0.0281285168357693+1.0790128618033e-17i,-0.0368868937066262-2.83135193075555e-18i,-0.0201691634745076-7.77015806053986e-19i,0.0213462617374968-5.71225119745565e-18i,-0.0565496798307704-1.25108803693114e-18i
-0.00404582563878666+5.87531812542446e-18i,-0.00352394984298428+4.22250832635996e-18i,0.0511283769561754+6.06036711897299e-19i,-0.00077939117127761-6.45075821513158e-18i,-0.0122987213601167+4.5983692498077e-19i,0.00488412904730077+3.30481354384766e-18i,0.010606447767983-8.97150553625095e-18i
0.0345665948254926-4.10694914893151e-18i,-0.00330840283146919+5.72703936999049e-18i,-0.104198766154922+3.32618300364819e-18i,0.0203042590061438+7.37144633533835e-18i,0.0379695481470594+2.59093369336946e-18i,0.00231261817053623-6.21433344418825e-18i,0.00514081355283914-4.99110778342512e-18i
0.0383915958024068-1.33384658806404e-18i,-0.0270272797987299+4.1059960964376e-18i,-0.0583017649096493+5.02485780320668e-18i,-0.0040392759139498-1.26292925452261e-17i,-0.0731322931344827-9.87599765305076e-18i,-0.0128638232308881-5.0481224138584e-18i,-0.00703589592127665-1.58688325621658e-18i
-0.00618216765352243+2.15880834682168e-18i,-0.00241119445878983+1.18811690714639e-18i,0.0116712407340325+5.43438357630327e-18i,0.00708076981864931-2.30519752462359e-18i,0.0689313653905886-5.86716178248747e-18i,0.05953302624916+1.50524690796585e-18i,0.00700327858041463+6.42145745879309e-19i
