-0.00392260224969294+3.35806973923259e-06i,0.0461646474187781+3.55437094512403e-06i,0.0211073805235776+3.74711720641324e-06i,0.0310246626428693+2.262600560346e-05i,0.0276926929236223-5.74217704571331e-06i,-0.0171698844263205+1.58325393570416e-06i,-0.0266501035668429-2.11467076470145e-05i
-0.0127093431280218-1.40167442930369e-07i,-0.041372879422009+7.47241334084224e-07i,0.0199314673048108-7.23096814066294e-06i,-0.01729037638032+3.78743432648813e-06i,-0.0189894153241217-1.79756663396988e-07i,0.0289078302648541-1.24343717858706e-05i,-0.0252641341232581+1.4457598810333e-05i
0.0155046218316799-1.45906449486542e-06i,-0.0685639258941111-8.87247469173506e-06i,0.0013155208782936+1.70217711366584e-06i,0.0322847618756658-7.37313397198986e-06i,0.0808974248417813-1.06231240031759e-06i,-0.00347030213498507+1.2916573811623e-05i,0.0612539813680859+4.23826419072398e-06i
-0.0090026444170117-6.92807587489267e-06i,-0.0387277167784336-4.92441844057894e-06i,0.0170989769699919-5.52557416876053e-06i,-0.0452579028615965-3.01819261827511e-05i,0.00739485776173873-7.73724797813307e-07i,0.0260782050480488-2.9855690866531e-06i,0.0348180986406437+2.71503769016422e-05i
0.00347300637726896+4.32477042814369e-06i,0.0441315402703209+5.84607201713205e-06i,-0.0141048522485312+4.39997496858699e-06i,0.0156235883745946+3.79450704672472e-05i,-0.00655604672189743-3.32505863899296e-06i,-0.0329681805084168+2.86600673509087e-06i,-0.0688630080478694-3.2447493167075e-05i
-0.0137584355223285-4.11339469690671e-06i,0.0602201576754229-6.33411735173263e-08i,0.00633227288241855-1.41988006577398e-06i,-0.0224452978395242-1.52520534241993e-05i,-0.000705932988049909+8.19363227815899e-06i,0.00432551082076311-9.01699652362797e-06i,-0.00843202111364662+7.04770476791017e-06i
0.00223086302920503-3.9580976836913e-07i,-0.0517305188903362-5.54934406763476e-07i,0.00996383280483457+4.38591599584053e-06i,0.00361157653940213+2.70606140183459e-05i,0.0635699983210228-1.34682199298791e-05i,-0.0159572898553137+2.34631597396181e-05i,-0.00743973191693009-2.55048113552224e-05i
0.0223014573724967+3.91751569879427e-06i,0.0395527309441128-2.52664682688575e-06i,0.00935850705530618+1.19040962768775e-05i,0.035905695180092+5.31845691939814e-05i,-0.025994149973679-1.48677756605523e-05i,-0.00405566637298307+2.22929886664969e-05i,-0.0109675930694767-4.75454608029614e-05i
0.0146617578714482+3.23357497120174e-06i,0.0121742232556859+2.87927588550943e-06i,0.0182090589485773+9.8562300234158e-06i,0.0538738797552444+4.78452282222153e-05i,0.055533881356832-5.1920366517679e-06i,-0.0179765630342201+1.51091973579349e-05i,-0.025941747139826-5.17738802998328e-05i
-0.0174290592107141-1.40902306373428e-05i,-0.0877785199594798-7.93654791156648e-06i,-0.0377438676986693-1.3800630669744e-05i,-0.0807959309994998-9.15241521498906e-05i,0.0164529034943144+3.02332761635202e-05i,0.0583417869267267-3.21516969609242e-05i,0.071663049569607+7.84110551479468e-05i
