-0.00311057543762282-3.81014553616612e-05i,0.0269620286161633-8.28069034642041e-05i,-0.000567983769835894+0.000327784689676053i,-0.00543606309949713-0.000117730210986417i,0.0213032841448773-0.000155290799333557i,-0.0424948786389656+1.3420156023826e-05i,-0.000327573576594136-0.000137964034321185i
-0.00778897478848681+2.46127763977401e-06i,-0.0542869895828129-5.80910450890197e-05i,0.016952725168419-0.000290852063765153i,0.0317980039970248+6.17417731196878e-05i,0.0505904982953094+6.48865803563886e-05i,-0.0129762363333034+5.37952196084176e-05i,0.112772020135514+6.63888423635044e-05i
-0.00152955873497331+6.17997170141019e-05i,0.05716834960159-0.000155287971224742i,-0.0252095578540271+7.9315080153934e-05i,-0.0443807201800316+0.000177946908037873i,-0.0420462229353273+2.58496585790985e-06i,-0.00993789403241302+6.52016491360231e-05i,-0.0637423463999108-2.07591109809391e-06i
0.015363694244853-6.1767064161072e-05i,0.0180407109791841+2.13743832602297e-05i,-0.0612294998910835+0.000197265383188826i,-0.0583296915296096-0.000105531640913381i,-0.027386314955925-0.000147548694476667i,-0.00186298373739635-7.67376179624926e-05i,-0.0209389277054375-5.82017479748624e-05i
-0.0494713160716951-1.46505509243555e-05i,0.00500916457836264+4.23489275700316e-05i,0.0868083712054436+0.000230326768976921i,0.0398297118177293+2.27105571002228e-05i,0.0271465009170486-7.56233631366527e-05i,-0.0114077011392583+0.000106814752506035i,0.0727293516996141-0.000108898410675872i
-0.00678734742333609-1.85655191606605e-05i,0.0164640764685037+2.94915471677614e-05i,0.0129226849492077+0.00016551705591489i,-0.029099912109261-6.56364925349811e-05i,-0.0280665223314456-3.86245830864736e-05i,0.0511729753861136-7.63411568485175e-05i,-0.00595481933479875-1.26157842921432e-05i
-0.0126424009371719+2.89488783158746e-05i,-0.00720587703834594+4.88416135254728e-05i,0.0098633874267438-7.76110646634259e-05i,-0.0134346117222667-0.000109940466666914i,-0.0124291575095811+9.10808459506111e-05i,0.0527094544825593-7.43222289381649e-05i,0.0181345105368276+0.000100463196789403i
0.0154715662073066-2.84456952640068e-05i,-0.0154848847970647-5.72015676139608e-05i,-0.0453050088593135-1.4692661696826e-05i,-0.000496687425540843+0.000141919561413006i,-0.0199802786133519-8.45046625307963e-05i,-0.0099347834667884+0.000191281327745016i,0.0427791962320565-0.000109114541349287i
0.00235707028111952+9.5055737448638e-06i,-0.0130156725423943-6.4817860619243e-05i,-9.57084680841097e-05-0.000135212875890269i,-0.0197044313025629+0.000198081859961235i,0.0309144858340763+3.35559090467383e-05i,-0.0259238889235464+0.000203816030708721i,0.0565330212602206-1.72761760171281e-05i
0.012932110172646-3.63066908010392e-05i,0.00854280076474184+1.12151306232276e-05i,-0.0496055338550896+6.11455673724951e-05i,-0.00453320647428054+1.19091467730936e-05i,-0.0533793721464652-9.368435651675e-05i,-0.0060507226211799+4.79066961621633e-06i,0.0283761596065537-0.000103927279245854i
-0.00936701179654425-1.56936365986902e-05i,0.027905567704497-6.65287361839546e-05i,0.0028742661754644+0.000128370756291445i,-0.0581512521827752+0.000536108537575611i,-0.0233686506611687-8.26331393756726e-05i,0.0426393141941436+0.000401514358629004i,0.00535180339029797-0.000219232291093116i
-0.000663380796135092+2.11358122719389e-05i,0.00909368270583577-5.57518611268991e-05i,0.0298674307937884-0.000108439874767898i,-0.0011020494990107+0.000166715924484113i,0.0461471474241724+2.61511606532981e-05i,-0.0180222599888962+8.96234970831935e-05i,0.0536138076867403-2.24500703221308e-05i
0.00928902457713329-9.40867220618044e-05i,-0.0441966842055412-1.20489292690371e-05i,0.0231167741898599+0.000146167719226645i,0.0447411676201606+9.83156568542406e-05i,0.0901800686570234-0.000162051297314838i,-0.0107075901376713+0.000268834941908139i,0.14068868847361-0.000217451461316046i
-0.00577206004083845-4.34716765240509e-05i,0.0678492161593929+0.000135449437766413i,-0.0659650928927071+0.000341723152945232i,0.0257947305004158+0.000204649078043577i,-0.0848975133079193-8.77758786005814e-05i,-0.0292024270418715+0.000277595904034346i,-0.110461047291549-0.000341103386961195i
0.00667304186322926-7.21805204290715e-05i,-0.0388869569202522+0.000149799315771967i,-0.0344704764685252+5.58114836363461e-05i,-0.0104310677921919-3.67450186719687e-05i,-0.00587057913427665-7.66482604838571e-05i,-0.0237240870948849+4.27707790775898e-05i,-0.0357949530056016-0.000107607771158728i
-0.021583112713728+9.40189142437348e-06i,0.00840782929449302+2.66621417881963e-05i,0.026622254513768+8.77548050893038e-05i,0.0185422823943281-4.59086390995741e-05i,0.00793474964720306+3.33707132305987e-05i,0.0254799894733111+3.59026521087398e-05i,0.025205964904728-5.36630633029976e-05i
0.00870135453131362-3.59955139608774e-05i,-0.00987179570700709+1.32178368873307e-05i,-0.0465365441339295+1.86998891200399e-05i,0.0348258615512131+0.000161828823399769i,0.00217114014218905+1.33238047767386e-05i,0.0091755090676342+0.000292997000163773i,-0.0361308432035936-0.00016426243770538i
-0.00592164644031525+1.99101714870071e-05i,-0.0324195263214846-4.20999359239321e-05i,0.0486010760560792-0.000185888602803177i,-0.0119913059382017-0.000685712937095642i,-0.00550107255155198-6.60066982948642e-05i,-0.0843195625408668-0.000763969872521323i,0.0571747865978661+0.000430922264488054i
0.0102590832598997-9.88918978056666e-05i,-0.0199272560687161+0.000113385228581517i,0.0306653448716779+0.000234097389170581i,-0.0259565506923017-7.12190309417187e-05i,0.0334248113140338-0.000163653899745795i,0.0285710383840115-2.64575532230452e-05i,0.0376195352149561-0.000120634477412369i
-0.00754961198733568+8.57203684041178e-06i,0.0187359069213442+7.06016754415053e-05i,-0.012858500286249+0.000151511250584466i,0.0539759433336348-0.000381355415407085i,-0.0544622460305362-6.62546569437424e-06i,0.00447497424326457-0.000307570752569692i,-0.027093806180533+3.02420000761279e-05i
0.0228176665861251-5.19548046575803e-05i,0.0336299095708535-0.000137132335235947i,-0.0453463375042544+0.000348261097823578i,-0.0542010529160466+0.00014088947452243i,0.0398854905571042-0.000275136170296971i,-0.120898760209697+0.000130476486129521i,-0.0033299318582458-0.000217355613890048i
0.0199199366867761+0.000110279180239863i,-0.00498506405942649-0.000168444292668976i,-0.0148244885763337-0.000521540461421434i,-0.00282227621771919+0.000323073640068996i,0.049206440453759+0.000270223402106932i,0.00144837257333272+0.000192092402800727i,0.00416546616936163+0.000191602998740279i
-0.00378202866039597+0.000163871286948022i,-0.0160215395841-9.20300567337569e-05i,0.00809119848263701-0.000790986347664341i,0.0340224221147322+0.000406652758887647i,0.0216471320019029+0.000463146543481964i,0.00909558031742181+0.00016859181451609i,-0.0565266105263134+0.000287822635850174i
-0.0278312588526008-7.01448805427981e-05i,-0.0191278876446738+9.06691204895638e-05i,0.0460484982933646+0.000293933562398914i,0.037357903019727+3.06012881130106e-05i,0.0140532852877157-0.000142431440182959i,0.0161674895987982+7.78576091945636e-05i,0.0501652145986831-0.000170006430320479i
