0.0307200719273441-4.77119913464382e-05i,-0.082292588212447+8.75883042637452e-05i,0.00935064682624702-0.000437928276158704i,0.0392043986776912-6.82501218571855e-05i,0.0471253602293901+0.000160379173975631i,-0.0304281615114817+7.34460976164586e-05i,-0.0230844885909626+9.23323748898472e-06i
0.0161729462260428-3.31758849714569e-05i,-0.0242683709271006-0.000193800446197589i,-0.0136088037003722+6.41553463001537e-05i,-0.0347521054510928+2.48729702329658e-05i,0.0518869233505586-0.000223751866017105i,-0.129947225175475-0.000222539909361425i,0.00723480806892317+0.000145341149197713i
-0.00577065344382749+5.55070140269167e-05i,0.0308095777558846-0.000180525698272129i,0.0234885528688793+8.8773857099626e-05i,0.0299271717212403+0.000105243543966756i,0.00840384167774874-2.02727216344373e-05i,0.0340327852219757+7.83854578556885e-05i,-0.0421559330275011-8.64811982149643e-07i
0.0067913860796737-6.50592321268104e-05i,-0.0527327681951815+0.000117471610274295i,-0.0132458109479554-7.49059856011247e-05i,0.000630635301167749-5.71582691482551e-05i,0.0300082761918891+3.60895465351381e-05i,0.0150718537326501+0.000165886311288209i,0.128536588494534-0.000164898821863058i
-0.0144807086850058+6.01314021356906e-05i,0.0735662927824264-0.000177232620940213i,0.0121448248090852-3.53363662480728e-05i,-0.00630074088064125+9.85134830387443e-05i,-0.0155898876313606+3.51761032102442e-05i,-0.00594244083925691-0.00010017882839674i,-0.108167338342996+0.000133368510688458i
0.0231760395598552-3.27195103979583e-05i,-0.0474994408422066-8.44738249512006e-05i,-0.0701663539649423+0.00011281150610655i,-0.0878413145233772+7.5306567932298e-05i,-0.0410748092873217-0.000147661066738571i,-0.015182948283282-9.01244111076159e-05i,0.00944084821553051+7.9785643504582e-05i
-0.0353795983193454+1.39992405548753e-05i,0.077118909223483-8.63154961179602e-05i,0.0749080684271999+0.000208626552297858i,-0.00802161814561701+0.000118598490774445i,0.0327896259646831-3.8983235618358e-05i,-0.00460313444707174+9.40956487601487e-05i,0.0641876243504862-4.80119135521866e-05i
0.0116976305219002+3.94934779957023e-06i,-0.00675570180348132-5.94677610692999e-05i,0.0116323305248654+6.69393169076566e-06i,-0.0279706604297976+1.97892614922272e-06i,-0.0289553358224737-3.63935276057947e-05i,0.0632263682511439-8.68563154884299e-05i,0.00246181749832409+0.000130075081992428i
-0.00439420807047828+5.50866221288993e-05i,0.0270622937912538+3.34656975903415e-05i,0.0274554389691279-8.49552784326284e-05i,-0.0274761675939549-4.33723185577596e-05i,-0.0117365265623006+0.00022632876283933i,0.0591025240376653+7.85936215485747e-05i,0.00954870252613879+1.13624574488929e-05i
0.00870802173427064-5.83415908390972e-05i,-0.0101314406784781-4.05935017434731e-05i,-0.0497361804998167+6.02350028115757e-05i,-0.0132275309493076+1.26324215448888e-05i,0.00195535281066047-0.000135502210257931i,-0.0199970282538623-6.86360860024243e-06i,0.0335378488768072-6.53111495802483e-05i
0.000683055893555414-2.50167865885305e-05i,0.0101479522017347+1.26841437447408e-05i,-0.00219239100324879+3.61302544592027e-05i,-0.0487385334004697+8.10037695042528e-05i,0.0339017973198947+4.62005933959681e-05i,-0.0659758558994941+0.000167496370204859i,0.0476482607589274-0.000141305167754265i
0.00842360669580117-5.34014777584908e-05i,-0.00670538727325454-1.02584199207431e-05i,-0.0684393881175158+0.000128815091418319i,-0.0416978778213073-3.63709896048263e-05i,-0.037270145856295-0.000152057872278282i,-0.0296299769995225-0.0001249496808084i,0.0467591356716976-3.50912088151243e-05i
0.00415290749410576-7.86568960834121e-05i,0.0423010997529836-0.000112971852764278i,0.00772205246621746+9.9346073301015e-05i,-0.105611980678534+0.000307529042526786i,-0.0162766318168982-0.000118884770094048i,-0.00416253885314036-9.05712424194931e-05i,0.0186335864973958+6.77698037571076e-05i
0.00832066327119017-3.73806043684812e-05i,0.00376251090828851+8.2871500083146e-05i,0.0193194364577205+5.33447388719318e-05i,-0.00660640523014332+4.07857536638405e-05i,0.0351441340874381-3.65428500868624e-05i,-0.0233095594278865+5.44349111577302e-05i,0.0451763305122866-0.000123766266841661i
0.0233183849030565-0.000100339035053463i,-0.041981744229266-3.75542640593927e-05i,-0.00229805502587797+0.000167625779654051i,0.0221382482435444+0.000166130811826064i,0.0617510315260483-0.000220259193990316i,0.0347597919980021+0.000172648732218488i,0.135876073294078-0.00015936686119619i
-0.0417411629048149+9.45159355459019e-06i,0.103597936450963-6.02705645712398e-05i,-0.034569748143949+0.000330375927826044i,-0.0430151100702878+0.00016078475631314i,-0.0730747951290173-0.000152271702260975i,-0.0735313050845917-0.000129799902773079i,-0.110889379253646-5.93853332454417e-06i
-0.012790267887285-1.58063771971006e-05i,-0.039943234973938+6.8158826303738e-05i,-0.0179470838351026+0.000146112709478067i,-0.0616662224333714+0.000172296725775295i,-0.0510627869508474-9.53099955254721e-05i,-0.0803935044310687+3.34381981981064e-05i,-0.00338534442907168-5.70787774074665e-05i
-0.000805307246695152+1.48127810330421e-05i,-0.00902910855799675+2.53392843025627e-05i,0.0247716721222436+8.11612386900864e-05i,-0.00773380988385875+4.61950643754055e-05i,-0.0163071955044578+1.69635776407504e-05i,0.0683714719075089+0.00015174847342946i,0.0212011711371404-8.21663359700277e-05i
-0.0142690992032157-5.42114166819934e-06i,-0.00319676507650487-3.31768763232003e-06i,-0.00735117672095585+8.32698232613011e-05i,0.0168043798993484+0.00023908994737848i,-0.0341960591072717-5.94530530049605e-05i,0.0245152390770972+0.000167231310655537i,-0.0593619108865641-9.51267745010697e-05i
0.00853650899067328+2.11326279862724e-05i,-0.0618662301196291+3.52546137988426e-05i,-0.0197112390870684-0.000220365031295576i,0.0574737624246856-0.000574531679088681i,0.0345173060651664+4.92082274569289e-05i,-0.0665650172663203-0.000203479268936563i,0.0959566557339995+8.95919501982223e-05i
0.0339257501666908-6.75198767667004e-05i,-0.071224580143205+3.67939511255534e-05i,0.00452707503642257+0.000174683976987671i,-0.0516461584169383+0.000118508163654781i,-0.0110214642997594-0.000246811356902246i,0.0139075604381164-6.5551172067016e-05i,0.0797473015136995+2.58787318017269e-05i
-0.0100883651242698+2.99373514474569e-05i,0.0127491291878263-1.30634429917957e-05i,-0.0284544428597042+2.18176701897352e-05i,0.0787032358750237-0.000306211952440948i,-0.0156287494161871-5.45749189602777e-05i,0.0466644540309879-0.000214366522060991i,-0.0291676138099731+7.24834825745749e-05i
-0.00651013925743321+1.62955670412884e-05i,0.0573348899370499-0.000245646274469041i,-0.0159832087467237+0.000252382798929173i,-0.037762295580512+0.000293359713652416i,0.0515180494672605-0.000189212000361474i,-0.157683756490106-8.67601186486814e-05i,-0.0494395564637924+1.94781949643365e-06i
0.0117665223907752-5.10531284388202e-06i,0.0136855956943686+8.50020815653784e-05i,0.00231561572726501-0.000304822610425586i,0.027465611488519+2.11787678080167e-05i,0.0734320474434198+0.00029540115738629i,-0.0234314146397382+0.000232528700999599i,-0.0311642331333587-0.000116769851601727i
-0.0155861133571484+1.74311340268071e-06i,-0.0033459473098742+0.000344165618887443i,0.0256653156499914-0.000377480333265007i,0.0337516856358897-8.36717176862742e-05i,0.0053732950580551+0.000432703628235569i,-0.00534937943777142+0.00022981826051671i,-0.0578718604932586-0.000170274850096791i
-0.017479453373656-5.31089128727917e-05i,0.0199526511545195-7.68443478930154e-05i,0.0385937477321318+0.000207162133516168i,-0.000753509588080036+0.000148466880723918i,0.00618902810365467-0.000197209197561994i,0.0357291662219138-4.87789449072783e-05i,0.0504690551009367+2.75232512410836e-05i
-0.0144374365507564+7.51447390153455e-05i,-0.0163629043595552-3.94291857865078e-06i,-0.0137428104041162+2.88727210855163e-05i,0.0109765798437933-0.000322802451008086i,-0.0654960591675818-0.000113848732554032i,-0.0484207045194921-0.000341910064899659i,-0.0237446723024946+0.000210708177995371i
