-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
0.00500684818395607-0.00237343324750473i,0.00822878387389796+0.000310746597976579i,0.00662687878429773+0.00173098807814582i,-0.0422692052831015+0.00234842709191724i,0.0129645625154246+0.0143542961083601i,0.0217815855073411-0.000966721408525006i,-0.00532145894320691-0.012912602097233i
0.0127190205698281-0.00579703508676786i,0.0341328828707126+0.0219299849839044i,0.0134480203439115-0.0125927496628919i,0.0171813422224463+0.0040996335809545i,-0.039206461313477+0.0180994809149761i,-0.00938543610157684-0.00897867219714407i,0.0287249909904342-0.0123761751001705i
-0.000135134561976835+0.00338269543949638i,-0.00478838793364916+0.0156625130787078i,-0.00850544714758703+0.00778278679206137i,0.00745231360952358-0.0235256154864772i,-0.0378559777538285-0.00332112038168918i,0.0356766990779966+0.00564461388402753i,-0.0145436131698543-0.00692630043026118i
-0.0103992129110125+0.00674805411492522i,0.022647249401436+0.0087665446176363i,-0.0104356775676926-0.0307188781484857i,0.0109759097564233-0.00487465608806364i,0.0501318696439761-0.0171760408685111i,0.0218709960418488+0.0166825702651709i,0.00935046233507881+0.0190305393485535i
-0.00853708242129324+0.00207066845200826i,-0.0175298183473055-0.00500276455282097i,0.00218031512431289+0.0160851868613363i,-0.0390891707695194+0.00353073034350763i,0.0152361029817254-0.0111317710819675i,0.0587739497730189+0.00110201865382775i,-0.0770653778443239-0.00813412104359253i
0.00487344939602922-0.00609864055051551i,0.0247882717948049+0.00448764275838732i,-0.0293222972257695-0.0307326079300043i,-0.0136311649618748+0.0179075591401979i,-0.0140012819107729+0.0290352225896167i,0.038379056363122-0.00390333118510829i,0.00847135663223807-0.00523204847492173i
-0.0161569176411587+0.00256273858350108i,0.0232636827085306+0.000378190748361817i,-0.0133829154726507-0.025705034688137i,0.0206881001957062+0.00684470146214936i,0.0600821650113202-0.0103994427090524i,0.0252463828289002+0.0069031293547331i,0.0215469693917427+0.0204885118442253i
0.00284463885632264+0.00047208561773932i,-0.00500807189164748-0.00153321838048652i,0.0713683640146197+0.00193331554394716i,0.0637190763730574+0.00444113130285246i,0.00854311956082819-0.0148890274917112i,0.0195169116424008+0.00187411746346938i,0.0937222987083777+0.00793774549938293i
0.00728497864491-0.000429201528274779i,-0.0760840191110158-0.0362515519453694i,-0.0196376739361979+0.0365194696522381i,-0.0133838254052725+0.0140463056582805i,-0.075364726334164-0.00444071665339177i,0.0567068929415628-0.00295400453203329i,-0.124678592251144-0.0101301649438615i
-0.00891109295803777+0.0032482954729108i,-0.0211468644633361-0.0127073838730165i,-0.043995254434996-0.0274516114334596i,0.0372572432161924+0.00085377800614777i,0.0470264967449756+0.00793348275538293i,-0.04968389579214+0.0154091526246506i,-0.029138806491882+0.0132396578497584i
0.00219166326451882+0.0037330460478782i,0.0182070401181722-0.00956562496457646i,0.0112987163201458+0.01751144098482i,0.0103063449104609-0.0131829808487515i,0.0439569870512111-0.00501442103221716i,0.0368711388369038+0.00765789482647519i,0.0123877677036919-0.00304085828721911i
-0.000417571569078398+5.36473261418253e-05i,-0.0237984827927928-0.0254979153830617i,-0.0257154393733869+0.00793253007632207i,0.00166156641169693+0.00238052904639676i,-0.013440407840039+0.00692004596880739i,-0.0234342338850583+0.00215695557796805i,0.00240535806099224+0.00509684632817979i
0.00132296191441251+0.0113465753194437i,0.0288471141238958+0.045945954134503i,0.0253035194013133+0.00205307794416005i,0.00750463340842373-0.0307663337366276i,0.0231909540599829-0.0427603107704287i,-0.0124059433257996+0.0144728296034322i,-0.0157729463088062-0.00120204290813615i
-0.0207385269302671+0.000287452730737067i,0.0139839518553515+0.00617505595169441i,0.026346440216475-0.0335701983406573i,0.00170884931575746+0.0172445697512953i,0.0278982909613811-0.000400005533717857i,-0.0205478559979857+0.00872486411918473i,0.0508106196662594+0.00527351712492403i
0.019639821526232-0.000343547689944284i,-0.00203347277892209+0.015096563415324i,0.00876955714308999+0.0232555841978458i,-0.0252584105680452+0.0029495645861087i,-0.0782062310719205-0.0140834108357029i,0.0470935268511703-0.00586056383315607i,-0.0492326405722362-0.0201162271968792i
-0.0201016813992282+0.00235579608044539i,-0.0398682066252876-0.00824960407123838i,-0.0759639880078207-0.0381094686288164i,0.00898106535680779+0.00392082805609482i,0.0283332561462374-0.00919519625562292i,-0.00543071087832187+0.00464196149991472i,0.00432976081201514+0.041841935666026i
-0.000703453160415929-7.23877238158338e-05i,-0.025473216579857-0.00511850371460539i,-0.0115089493753529-0.00827298910780015i,-0.0209960767810268-0.0165223191762399i,0.046105360207721+0.0154413898454067i,0.00740141044065654-0.0026765832302035i,0.00533774916159466+0.0120763759713952i
-0.00174807353438793+0.00326457280972245i,-0.00730562204830765-0.0243537340585315i,-0.0174535214768303+0.0074779539257354i,0.0267518221257988-0.0117927115958466i,0.0305932818532888+0.00452878965121755i,-0.035911899240577+0.0057498198742572i,-0.0121918702315502+0.0112312377754866i
0.00829617737286129+0.00279304605129657i,0.0541246130645319+0.00151282140878734i,0.0293408939192116+0.0181920803516249i,0.0612920830320492-0.0177156566835828i,-0.00185377980436087+0.00281124121145054i,0.0279162061993864+0.00452897442160777i,0.00774490313717001-0.0137539058962204i
-0.00629572346809562+0.00443715412521509i,-0.0128429886288304+0.0133877502589246i,0.0153792731850406+0.0172587069643404i,-0.0219742559678552-0.00174946824905526i,-0.013261380545956-0.0303470857371665i,-0.0606714372159834+0.00270645120548099i,-0.0591288864516865-0.00676511997635174i
-0.00197185716918874-0.00562614782334747i,-0.0407003451585205-0.0102940334394202i,0.0279525090744253-0.00431517159862314i,-0.0602337055551051+0.0280025847519055i,-0.0196128982173678+0.00174993776131511i,-0.0864137670053084-0.0133697394311721i,0.0108114361617826+0.00446872403223673i
