-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
-0.0704487360861322+2.38285779950736e-05i,0.00560315301693068+7.44422989397933e-07i,0.00560315301446706+7.44421525051835e-07i,0.00560315301224958+7.44417873757757e-07i,0.00560315301050379+7.44416792560392e-07i,0.00560315198166051+7.43775441512744e-07i,0.00560315302064943+7.44424377877173e-07i
0.0804174999678073+1.62944966874881e-05i,-0.00345633119809063+2.89026621140336e-06i,-0.00345633121108097+2.89026524261597e-06i,-0.00345633122000288+2.89026607478854e-06i,-0.00345633120324148+2.89026769257382e-06i,-0.00345632189858253+2.88953566072989e-06i,-0.00345633127625107+2.89027508258663e-06i
0.0202729574581072+3.49159712873949e-05i,0.00933943671431065+6.54025169110614e-06i,0.0093394366892492+6.54026048712047e-06i,0.00933943670952043+6.54024861615374e-06i,0.00933943665588832+6.54024231720162e-06i,0.00933948002787163+6.53908868090989e-06i,0.00933943630008784+6.54025078379574e-06i
-0.0178748117451794-1.08268924444079e-05i,0.00662789175356105+2.20736354818758e-06i,0.00662789176654516+2.20737660594925e-06i,0.00662789176424551+2.20736449614375e-06i,0.00662789173043281+2.20737620434491e-06i,0.0066279008365015+2.20732530048212e-06i,0.00662789165020117+2.20736262397356e-06i
0.00379953857834175-4.22814169878625e-06i,0.000222855312606134+1.08882884650049e-06i,0.000222855300068977+1.08882204433304e-06i,0.000222855303920853+1.08881941417877e-06i,0.000222855308038845+1.088823280877e-06i,0.000222851477937606+1.08884898160462e-06i,0.000222855329773253+1.08882052536545e-06i
0.127797719683398+1.51554859511346e-05i,-0.0145046936335306+3.30552054704385e-07i,-0.0145046936307564+3.30553132414576e-07i,-0.0145046936300953+3.30555449566644e-07i,-0.0145046936260611+3.30546669451793e-07i,-0.0145046929205485+3.30191987428254e-07i,-0.0145046936438129+3.30554847397162e-07i
-0.100147885837464-4.47985365219071e-06i,0.0102183650874271+5.79508073519643e-07i,0.0102183650909385+5.79509261231769e-07i,0.0102183650864478+5.79508778180991e-07i,0.0102183650883683+5.7950944484218e-07i,0.0102183568320404+5.79480402974714e-07i,0.0102183651674934+5.79510001649235e-07i
-0.0892728065130665-7.18633231448963e-06i,0.00918411600169014-1.9013048018558e-06i,0.00918411601493291-1.90130783130127e-06i,0.0091841160194784-1.90131752594477e-06i,0.00918411601444163-1.90131864019982e-06i,0.00918409458815598-1.9010805264274e-06i,0.00918411616878656-1.90131482251104e-06i
0.148896204467472-2.79826746562708e-05i,-0.0192080868260172-4.49013863849858e-06i,-0.0192080868166442-4.49014131868439e-06i,-0.0192080868258162-4.49013232585946e-06i,-0.019208086802971-4.49013350979586e-06i,-0.0192080881681875-4.48950034986506e-06i,-0.0192080867898027-4.49013844586433e-06i
-0.00124555183603824-2.83026690830293e-05i,-0.00144220281947619-2.36472559772379e-06i,-0.00144220281548153-2.36472456857724e-06i,-0.00144220280835445-2.36472880003905e-06i,-0.00144220281349566-2.36473598528775e-06i,-0.00144220714103215-2.36437515928229e-06i,-0.00144220277694422-2.36473095932166e-06i
0.0724104201750573-1.33743054358048e-06i,-0.00122584572052786+2.01473446817418e-08i,-0.00122584572378165+2.0154771646344e-08i,-0.00122584571590868+2.01443847788432e-08i,-0.00122584570962008+2.01336350963236e-08i,-0.00122583905002832+2.02900471444662e-08i,-0.00122584578523028+2.01431833288173e-08i
-0.0518675058691804-1.32540425997794e-05i,-0.00246273081231582-2.52400774924192e-06i,-0.00246273081413728-2.52401231130867e-06i,-0.00246273081803746-2.52400476016308e-06i,-0.0024627307925304-2.52400340429578e-06i,-0.00246274583648492-2.52371025004202e-06i,-0.00246273067402049-2.52400546483063e-06i
0.0127489702308552+7.456367398122e-06i,-0.00900621736390518-8.0279863444905e-07i,-0.00900621736898611-8.02789593815284e-07i,-0.00900621737117233-8.02795925207975e-07i,-0.00900621738613933-8.02793635112423e-07i,-0.00900620239505568-8.03101090738041e-07i,-0.00900621749582429-8.02796878068833e-07i
-0.107461903221636-6.32485765501575e-06i,-0.00126013590813606-2.99428657982199e-06i,-0.00126013589951753-2.9942888403736e-06i,-0.00126013590803804-2.99428837316909e-06i,-0.00126013589593798-2.99428089922504e-06i,-0.00126015386249043-2.99376549326244e-06i,-0.0012601357212346-2.99428637794693e-06i
-0.0063396292961206-4.7456314631301e-06i,-0.00339123472717648-7.16633789307065e-07i,-0.00339123472724319-7.16633088724842e-07i,-0.00339123472412674-7.16644170744312e-07i,-0.00339123473828933-7.16647371813528e-07i,-0.00339122189542268-7.16949605422554e-07i,-0.0033912348378189-7.16639562895038e-07i
0.00371192941362868+1.8901192078706e-05i,-0.0121478192716823-5.97844323020104e-08i,-0.0121478192707439-5.97809631957039e-08i,-0.0121478192710702-5.97877259477031e-08i,-0.0121478192940817-5.97802461277807e-08i,-0.0121478109622643-6.03391244967712e-08i,-0.0121478193536201-5.97834946713264e-08i
